Date,SARIMA_Prediction,Lower_Bound,Upper_Bound
2026-01-31,-4.853010879562005,-7.2773259211933965,-2.4286958379306127
2026-02-28,-5.065203006425037,-7.637322907747377,-2.493083105102697
2026-03-31,-1.6245554502505701,-4.243798160245205,0.9946872597440644
2026-04-30,3.7984177545355475,1.1473595665388756,6.449475942532219
2026-05-31,9.092571692590896,6.413034461386731,11.772108923795061
2026-06-30,14.155421541908371,11.448367195359515,16.86247588845723
2026-07-31,18.401345865644664,15.667203062553238,21.13548866873609
2026-08-31,18.70993596781891,15.94900513941321,21.470866796224612
2026-09-30,14.92164381204449,12.134189083589787,17.70909854049919
2026-10-31,9.403396719186233,6.5896642111713035,12.217129227201163
2026-11-30,4.084459268335337,1.2446699332237214,6.924248603446952
2026-12-31,-1.2298569388743972,-4.095528222249457,1.6358143445006625
2027-01-31,-5.00202091741916,-7.902600437064342,-2.101441397773978
2027-02-28,-5.03864990352401,-7.967510946943495,-2.1097888601045245
2027-03-31,-1.5543175136582392,-4.509881363307496,1.401246335991018
2027-04-30,3.8771788985307034,0.8954493313276242,6.858908465733783
2027-05-31,9.17173509390514,6.164136078010025,12.179334109800255
2027-06-30,14.236217895968387,11.20298588890956,17.269449903027215
2027-07-31,18.48055587980829,15.421909250585383,21.539202509031195
2027-08-31,18.796971577937217,15.71312015818356,21.880822997690874
2027-09-30,15.002516323377256,11.893662713271704,18.111369933482806
2027-10-31,9.497056537542521,6.363392115406246,12.630720959678797
2027-11-30,4.1631676378278915,1.0048543185001297,7.321480957155654
2027-12-31,-1.1383310688912804,-4.321212681824478,2.0445505440419174
2028-01-31,-4.916302100741666,-8.135210819368986,-1.6973933821143445
2028-02-29,-4.954367131323183,-8.200874128276686,-1.70786013436968
2028-03-31,-1.4703920680333789,-4.742663243107808,1.8018791070410503
2028-04-30,3.961034627354745,0.6635643811915588,7.258504873517932
2028-05-31,9.255587532451083,5.933193160904289,12.577981903997877
2028-06-30,14.32005697751039,10.972943424812375,17.667170530208406
2028-07-31,18.564407937092128,15.192760779768244,21.936055094416012
2028-08-31,18.880759624419362,15.484756567437602,22.276762681401124
2028-09-30,15.08635478198162,11.666167099322756,18.506542464640486
2028-10-31,9.580790400179067,6.136577800624583,13.025002999733552
2028-11-30,4.247023798401133,0.7789109416741047,7.715136655128162
2028-12-31,-1.054579751258528,-4.546579759885814,2.4374202573687587
2029-01-31,-4.832503283321836,-8.359397343999197,-1.3056092226444758
2029-02-28,-4.870556567531608,-8.424123094998468,-1.316990040064749
2029-03-31,-1.386578581427877,-4.965108516103562,2.1919513532478088
2029-04-30,4.04484868422076,0.44187191994444897,7.647825448497072
2029-05-31,9.33940161623049,5.712222038461778,12.9665811939992
2029-06-30,14.4038711705457,10.752667515265268,18.055074825826132
2029-07-31,18.648222023990137,14.973155427868882,22.32328862011139
2029-08-31,18.964574234904685,15.265798973493537,22.66334949631583
2029-09-30,15.170168980112354,11.4478334814008,18.89250447882391
2029-10-31,9.664605453870433,5.918846081478594,13.41036482626227
2029-11-30,4.33083785173558,0.5617509546040824,8.099924748867076
2029-12-31,-0.9707648403432934,-4.763220319929733,2.8216906392431467
2030-01-31,-4.7486887609392445,-8.575181300434675,-0.9221962214438149
2030-02-28,-4.786742141230476,-8.639188685625195,-0.934295596835756
2030-03-31,-1.3027641790344018,-5.1795518391142465,2.5740234810454434
2030-04-30,4.128663081949692,0.2280140353434832,8.029312128555901
2030-05-31,9.42321601373928,5.498926333542206,13.347505693936354
2030-06-30,14.487685567160812,10.539914303431505,18.435456830890118
2030-07-31,18.732036421473417,14.760926308875845,22.70314653407099
2030-08-31,19.048388628105194,15.054076235763455,23.04270102044693
2030-09-30,15.253983376685788,11.236599775665013,19.271366977706563
2030-10-31,9.748419843445662,5.708083465968507,13.788756220922817
2030-11-30,4.4146522494933995,0.3514370839383423,8.477867415048458
2030-12-31,-0.8869504496002026,-4.973130270886301,3.1992293716858957
